YEAR,MONTH,BENE_GEO_LVL,BENE_STATE_ABRVTN,BENE_STATE_DESC,BENE_COUNTY_DESC,BENE_FIPS_CD,TOT_BENES,ORGNL_MDCR_BENES,MA_AND_OTH_BENES,AGED_TOT_BENES,AGED_ESRD_BENES,AGED_NO_ESRD_BENES,DSBLD_TOT_BENES,DSBLD_ESRD_AND_ESRD_ONLY_BENES,DSBLD_NO_ESRD_BENES,MALE_TOT_BENES,FEMALE_TOT_BENES,WHITE_TOT_BENES,BLACK_TOT_BENES,API_TOT_BENES,HSPNC_TOT_BENES,NATIND_TOT_BENES,OTHR_TOT_BENES,AGE_LT_25_BENES,AGE_25_TO_44_BENES,AGE_45_TO_64_BENES,AGE_65_TO_69_BENES,AGE_70_TO_74_BENES,AGE_75_TO_79_BENES,AGE_80_TO_84_BENES,AGE_85_TO_89_BENES,AGE_90_TO_94_BENES,AGE_GT_94_BENES,DUAL_TOT_BENES,FULL_DUAL_TOT_BENES,PART_DUAL_TOT_BENES,NODUAL_TOT_BENES,QMB_ONLY_BENES,QMB_PLUS_BENES,SLMB_ONLY_BENES,SLMB_PLUS_BENES,QDWI_QI_BENES,OTHR_FULL_DUAL_MDCD_BENES,A_B_TOT_BENES,A_B_ORGNL_MDCR_BENES,A_B_MA_AND_OTH_BENES,A_TOT_BENES,A_ORGNL_MDCR_BENES,A_MA_AND_OTH_BENES,B_TOT_BENES,B_ORGNL_MDCR_BENES,B_MA_AND_OTH_BENES,PRSCRPTN_DRUG_TOT_BENES,PRSCRPTN_DRUG_PDP_BENES,PRSCRPTN_DRUG_MAPD_BENES,PRSCRPTN_DRUG_DEEMED_ELIGIBLE_FULL_LIS_BENES,PRSCRPTN_DRUG_FULL_LIS_BENES,PRSCRPTN_DRUG_PARTIAL_LIS_BENES,PRSCRPTN_DRUG_NO_LIS_BENES
2013,Year,State,AL,Alabama,Total,01,"921,477","711,448","210,029","698,720","4,134","694,586","222,758","5,315","217,442","413,241","508,237","697,285","208,597","3,723","5,319",846,"5,708","2,717","45,200","174,841","218,945","177,096","128,998","88,690","54,180","22,971","7,840","200,646","86,784","113,862","720,831","61,860","70,309","34,764","3,748","17,239","12,727","857,619","647,647","209,972","916,105","706,130","209,975","862,992","652,965","210,026","637,247","437,749","199,498","205,496","32,790","11,452","387,510"
2013,Year,State,AK,Alaska,Total,02,"76,224","75,676",549,"63,712",252,"63,460","12,512",329,"12,183","38,706","37,518","56,156","1,979","3,087","1,923","11,565","1,514",242,"3,007","9,264","24,174","17,093","10,287","6,461","3,609","1,564",524,"15,385","14,794",591,"60,840",68,"10,314",242,*,280,*,"67,025","66,477",548,"75,956","75,409",548,"67,293","66,744",549,"30,486","30,082",404,"15,994",973,228,"13,290"
2013,Year,State,AZ,Arizona,Total,04,"1,050,128","658,948","391,180","898,705","4,459","894,246","151,422","4,581","146,842","490,570","559,558","839,255","30,891","14,886","124,184","27,578","13,334","1,803","31,443","118,177","278,101","232,213","161,986","113,857","70,983","31,893","9,672","173,295","131,723","41,571","876,833","4,653","93,959","21,793","3,524","15,126","34,241","957,635","566,552","391,083","1,040,733","649,646","391,087","967,030","575,855","391,175","707,683","331,320","376,363","176,167","12,562","7,280","511,674"
2013,Year,State,AR,Arkansas,Total,05,"572,713","467,399","105,315","438,855","1,933","436,922","133,859","2,409","131,450","263,523","309,190","488,095","69,735","2,653","6,405","2,283","3,543","1,986","28,488","103,385","135,154","112,203","80,577","55,955","34,389","15,284","5,294","123,738","65,929","57,809","448,976","27,830","52,034","19,981","4,288","9,999","9,607","534,145","428,836","105,309","572,254","466,944","105,310","534,604","429,291","105,314","376,185","280,432","95,753","127,593","16,226","6,904","225,462"
2013,Year,State,CA,California,Total,06,"5,300,177","3,318,396","1,981,781","4,582,391","29,592","4,552,799","717,786","27,963","689,823","2,422,291","2,877,886","3,205,241","340,191","579,183","1,029,148","19,758","126,656","9,300","145,156","563,330","1,382,017","1,103,270","807,304","604,319","412,674","203,648","69,158","1,233,686","1,197,258","36,428","4,066,491","12,226","1,123,187","6,995",259,"17,207","73,812","4,711,715","2,732,619","1,979,096","5,167,393","3,188,274","1,979,118","4,844,500","2,862,741","1,981,759","3,933,310","2,006,290","1,927,020","1,285,813","78,233","26,404","2,542,860"
2013,Year,State,CO,Colorado,Total,08,"721,035","468,492","252,542","620,821","2,193","618,628","100,214","2,383","97,831","333,711","387,324","597,314","23,884","11,722","74,800","1,959","11,355","1,143","21,261","77,810","205,427","154,057","105,161","75,662","49,798","23,290","7,426","92,970","66,770","26,200","628,065","14,745","20,390","7,308","1,705","4,147","44,675","648,783","397,756","251,027","710,607","459,577","251,029","659,211","406,671","252,540","453,365","222,496","230,869","96,463","15,529","4,807","336,565"
2013,Year,State,CT,Connecticut,Total,09,"608,512","467,291","141,221","526,964","2,318","524,647","81,548","1,951","79,597","268,650","339,862","507,295","43,235","9,198","35,787",439,"12,558","1,177","17,420","62,951","149,703","123,207","88,590","72,488","54,439","28,483","10,054","153,924","74,437","79,487","454,588","69,197","58,773","7,118","1,066","3,173","14,598","544,825","403,614","141,211","605,685","464,473","141,212","547,652","406,432","141,220","416,404","283,712","132,693","155,163","2,946",613,"257,683"
2013,Year,State,DE,Delaware,Total,10,"167,686","155,803","11,883","141,355",845,"140,510","26,332",825,"25,506","75,883","91,804","131,775","27,028","2,379","3,803",72,"2,630",329,"4,930","21,073","44,080","36,537","24,990","17,972","10,961","5,181","1,633","25,594","11,403","14,190","142,093","7,294","7,069","4,410",20,"2,487","4,314","154,834","142,956","11,878","167,092","155,214","11,878","155,428","143,545","11,883","115,727","105,368","10,359","26,346","2,380","1,407","85,594"
2013,Year,State,DC,"District of Columbia",Total,11,"83,964","74,946","9,018","69,193",850,"68,343","14,771","1,015","13,757","36,011","47,954","23,149","54,961","1,235","2,889",33,"1,697",278,"3,172","11,321","19,889","16,672","11,703","8,814","6,387","3,444","2,285","27,990","20,186","7,804","55,974","7,544","12,685",239,33,21,"7,469","68,000","59,062","8,938","81,721","72,782","8,938","70,244","61,226","9,018","45,597","36,885","8,712","28,881",853,156,"15,708"
2013,Year,State,FL,Florida,Total,12,"3,753,454","2,402,926","1,350,528","3,239,566","14,617","3,224,949","513,888","14,334","499,554","1,722,375","2,031,079","2,781,388","367,487","44,951","506,921","2,602","50,106","6,439","96,316","411,134","926,869","804,098","593,894","440,743","295,405","134,968","43,591","701,583","343,821","357,763","3,051,871","201,432","277,407","98,633","13,811","57,697","52,603","3,525,141","2,175,231","1,349,910","3,746,978","2,397,053","1,349,925","3,531,618","2,181,104","1,350,514","2,629,600","1,332,038","1,297,562","732,092","55,584","25,731","1,816,192"
